job_id,submit_time,duration,num_cpu,num_gpu,user,gpu_type,mem,wait_time,status,source,gpu_milli
llm_inference_bursty_00000000,0.2965496401472841,0.8940328994526079,4.0,1.0,user_0089,V100,10.847793545892449,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000001,0.45578936929070635,3.0403194905172266,4.0,0.0,user_0190,,17.8865288063529,0.0,failed,llm_inference_bursty,125
llm_inference_bursty_00000002,0.5100984772347055,3.787242459838018,12.0,0.0,user_0048,,8.246169900623368,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000003,0.7043977503860688,0.2475574492896239,9.0,1.0,user_0056,A100,7.071474430430643,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000004,0.7154716101576769,0.16079358310863662,7.0,1.0,user_0048,H100,9.288367715975845,0.0,completed,llm_inference_bursty,500
llm_inference_bursty_00000005,0.8657370661525611,1.037397813190092,10.0,0.0,user_0071,,4.529012892429459,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000006,1.3225385821686102,0.22082555450284275,5.0,1.0,user_0143,H100,4.1443041090758905,0.0,killed,llm_inference_bursty,500
llm_inference_bursty_00000007,1.3262161546084568,3.711813479544322,4.0,1.0,user_0064,A100,15.79641055723186,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000008,1.453946486897438,3.917771840742269,3.0,0.0,user_0131,,16.83408004469079,0.0,completed,llm_inference_bursty,500
llm_inference_bursty_00000009,1.6675917620775056,2.6558283361691153,2.0,1.0,user_0179,V100,4.076897207122173,0.0,failed,llm_inference_bursty,250
llm_inference_bursty_00000010,1.8679206869579081,0.9270400282380215,3.0,1.0,user_0189,V100,13.207690620943652,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000011,1.9569115267168733,0.22352423010133826,3.0,1.0,user_0112,H100,7.013409887335192,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000012,2.170328654694631,0.07971133928315162,5.0,1.0,user_0142,H100,9.060145184395957,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000013,2.3185588877793504,2.312648221729453,11.0,0.0,user_0183,,9.738929301758372,0.0,completed,llm_inference_bursty,500
llm_inference_bursty_00000014,2.5157860008111057,2.1143528844086936,7.0,1.0,user_0157,A100,13.41817700785292,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000015,2.6492792088725743,0.7556689347646323,4.0,1.0,user_0059,H100,7.765034667053931,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000016,2.867436007051651,2.1267993178071745,2.0,1.0,user_0026,A100,17.220442528372814,0.0,completed,llm_inference_bursty,500
llm_inference_bursty_00000017,3.009839607881984,1.7127040313094275,7.0,1.0,user_0022,H100,8.896408926027735,0.0,failed,llm_inference_bursty,500
llm_inference_bursty_00000018,3.0788933429481635,0.1768959091693213,2.0,1.0,user_0176,T4,10.745752535096937,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000019,3.079147387411696,0.5755630404401599,2.0,1.0,user_0111,V100,4.481879300015796,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000020,3.1631167689974635,2.3907774529922388,6.0,1.0,user_0059,A100,26.982686144964205,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000021,3.305784718909942,1.3446431754106396,8.0,1.0,user_0069,A100,9.795224332815716,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000022,3.435720124983078,3.586083850820826,5.0,0.0,user_0056,,11.33390249922685,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000023,3.8835561624338113,0.9768996079289017,11.0,0.0,user_0160,,2.8153554209189737,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000024,3.9028526267250894,4.982378576216716,2.0,0.0,user_0122,,4.51036817822464,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000025,3.9993285728762276,3.3223363718880967,4.0,0.0,user_0175,,15.529325633564767,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000026,4.036727567459566,3.81650650818869,4.0,1.0,user_0060,A100,8.777000064647716,0.0,completed,llm_inference_bursty,500
llm_inference_bursty_00000027,4.0526265348403,1.9561952435575427,12.0,1.0,user_0094,T4,2.3437030044541243,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000028,4.0563090964328845,0.2005382531420129,2.0,1.0,user_0024,V100,13.776633844276311,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000029,4.074320999462508,0.6888182232125282,3.0,1.0,user_0194,T4,5.332020875204255,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000030,4.195491895970767,6.4611526356808815,6.0,1.0,user_0102,V100,17.23238033359907,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000031,4.211002311750912,0.5993645108699974,2.0,1.0,user_0110,V100,7.009725856817543,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000032,4.221200016253315,1.7828929545828567,5.0,1.0,user_0082,T4,8.354697968574564,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000033,4.22249680081295,4.463954443830882,3.0,1.0,user_0054,A100,14.98984163209341,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000034,4.271555805758108,4.075257164127956,3.0,1.0,user_0189,V100,4.312441501893697,0.0,completed,llm_inference_bursty,500
llm_inference_bursty_00000035,4.301879492448167,3.1482310569581746,2.0,1.0,user_0097,T4,4.072641944596837,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000036,4.385570391776825,3.3628510561559586,2.0,0.0,user_0134,,6.5672879072179144,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000037,4.54128981232351,2.6904677293141868,3.0,1.0,user_0007,H100,12.137546682799607,0.0,completed,llm_inference_bursty,500
llm_inference_bursty_00000038,4.647997122337994,2.978198679783237,2.0,1.0,user_0055,T4,3.3250132146538522,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000039,4.661062210344714,1.1830554341534134,6.0,0.0,user_0160,,2.7160516869769804,0.0,completed,llm_inference_bursty,125
llm_inference_bursty_00000040,4.664575480849884,2.911146496967799,4.0,1.0,user_0017,T4,12.112434338429223,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000041,4.696639908144205,1.1930956734953708,2.0,1.0,user_0020,T4,5.145965514712413,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000042,4.739703374067145,4.3190280786950375,2.0,1.0,user_0161,T4,5.839612210056595,0.0,failed,llm_inference_bursty,125
llm_inference_bursty_00000043,4.759706859138106,1.2274082043055605,6.0,1.0,user_0061,H100,2.425199426732412,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000044,4.8839310485080505,2.988153404009395,1.0,0.0,user_0054,,4.916576285746927,0.0,completed,llm_inference_bursty,250
llm_inference_bursty_00000045,4.924640252661648,1.4241355941002152,4.0,1.0,user_0113,V100,7.355583039011823,0.0,completed,llm_inference_bursty,125
