job_id,submit_time,duration,num_cpu,num_gpu,user,gpu_type,mem,wait_time,status,source
flash_crowd_00000000,7.362269751005512,15.39878671747639,8.0,0.0,user_0021,,6.948751311561399,0.0,completed,flash_crowd
flash_crowd_00000001,22.71207313386048,289.5395687477972,7.0,0.0,user_0188,,5.001119701967258,0.0,completed,flash_crowd
flash_crowd_00000002,30.817834567939407,2117.727332966001,4.0,0.0,user_0193,,4.930658371066513,0.0,completed,flash_crowd
flash_crowd_00000003,43.80376578722878,20.95085423586843,4.0,0.0,user_0033,,4.819150951246412,0.0,completed,flash_crowd
flash_crowd_00000004,58.30274168906602,620.0816955926906,6.0,0.0,user_0080,,4.359224710273191,0.0,completed,flash_crowd
flash_crowd_00000005,63.81725610417532,114.06924055447166,10.0,1.0,user_0125,V100,29.048874132934888,0.0,completed,flash_crowd
flash_crowd_00000006,87.649919316101,166.6007383487465,4.0,0.0,user_0039,,8.83310542202777,0.0,completed,flash_crowd
flash_crowd_00000007,90.04786077564175,41.02559010342373,6.0,0.0,user_0065,,12.579335559189083,0.0,completed,flash_crowd
flash_crowd_00000008,94.17734788764953,113.11492318997612,9.0,2.0,user_0079,V100,5.509938817100353,0.0,completed,flash_crowd
flash_crowd_00000009,96.39096215349929,1153.11688013456,6.0,0.0,user_0128,,6.608957948388946,0.0,failed,flash_crowd
flash_crowd_00000010,114.53007353597344,415.7731410410871,4.0,1.0,user_0061,V100,4.81563353161654,0.0,completed,flash_crowd
flash_crowd_00000011,118.00590212051532,2132.728444035479,3.0,1.0,user_0082,A100,1.5052740867306538,0.0,completed,flash_crowd
flash_crowd_00000012,128.1136326755459,968.5465977342894,7.0,0.0,user_0057,,3.232301537792717,0.0,completed,flash_crowd
flash_crowd_00000013,129.92150533547164,339.039868727894,2.0,1.0,user_0151,H100,2.4933539998947434,0.0,completed,flash_crowd
flash_crowd_00000014,139.75248360930982,2168.288632129141,13.0,8.0,user_0030,V100,1.9157893544316476,0.0,completed,flash_crowd
flash_crowd_00000015,139.79699812765745,338.99482013976177,6.0,0.0,user_0046,,3.606668941287142,0.0,completed,flash_crowd
flash_crowd_00000016,152.31210271316843,589.2750598192963,9.0,2.0,user_0049,H100,16.36219363784792,0.0,completed,flash_crowd
flash_crowd_00000017,154.28949206754783,119.35175483944424,1.0,2.0,user_0181,H100,7.194654353581474,0.0,completed,flash_crowd
flash_crowd_00000018,161.2717790336018,199.74582462149706,3.0,2.0,user_0188,T4,16.028017063719314,0.0,completed,flash_crowd
flash_crowd_00000019,166.9729199077039,67.69380333858412,5.0,2.0,user_0100,H100,9.455433465240455,0.0,completed,flash_crowd
flash_crowd_00000020,176.77278293923172,741.4972256798615,4.0,0.0,user_0031,,11.816954182888109,0.0,completed,flash_crowd
flash_crowd_00000021,189.4713590842857,34.40559597551306,8.0,1.0,user_0151,H100,4.303642696570128,0.0,completed,flash_crowd
flash_crowd_00000022,194.63870785196758,552.2534888551796,9.0,1.0,user_0098,V100,10.118552019200811,0.0,completed,flash_crowd
flash_crowd_00000023,199.9082024751083,138.68336001709514,5.0,1.0,user_0169,A100,11.44128769586603,0.0,completed,flash_crowd
flash_crowd_00000024,202.36336479523032,960.0913871668555,1.0,0.0,user_0071,,5.227910230248469,0.0,completed,flash_crowd
flash_crowd_00000025,214.5846728195292,528.0815018609468,11.0,0.0,user_0199,,10.336943464862113,0.0,completed,flash_crowd
flash_crowd_00000026,226.90934905088412,2418.3330826429988,6.0,0.0,user_0161,,10.37825399634904,0.0,completed,flash_crowd
flash_crowd_00000027,227.23872178477689,513.2093881240428,4.0,1.0,user_0044,V100,5.313593919553257,0.0,completed,flash_crowd
flash_crowd_00000028,233.93948586534074,19.8705435705849,5.0,1.0,user_0145,T4,3.7672260717143202,0.0,completed,flash_crowd
flash_crowd_00000029,265.8699614595196,165.2757348510658,3.0,0.0,user_0057,,3.6310541329086274,0.0,completed,flash_crowd
flash_crowd_00000030,271.6670779534351,34.7105651272334,2.0,1.0,user_0069,H100,7.782700026978836,0.0,completed,flash_crowd
flash_crowd_00000031,272.241561845159,87.19882369279846,7.0,0.0,user_0050,,8.990836763321985,0.0,completed,flash_crowd
flash_crowd_00000032,281.38389202199653,1557.1826401447884,2.0,2.0,user_0136,A100,4.592775391172802,0.0,completed,flash_crowd
flash_crowd_00000033,288.3281039302441,449.5022789736009,4.0,1.0,user_0052,H100,7.507865503428733,0.0,completed,flash_crowd
flash_crowd_00000034,292.63554851306725,67.54994173128561,4.0,2.0,user_0127,H100,10.405372108572724,0.0,completed,flash_crowd
flash_crowd_00000035,293.3976859634345,43.34810726726509,2.0,8.0,user_0116,H100,10.707178761528233,0.0,completed,flash_crowd
flash_crowd_00000036,293.5937577666836,190.3998806779624,7.0,0.0,user_0150,,18.74876853401212,0.0,completed,flash_crowd
flash_crowd_00000037,297.4913949484489,32.610235126372515,6.0,2.0,user_0198,H100,15.897923438085709,0.0,completed,flash_crowd
flash_crowd_00000038,301.5120891478765,70.25381614640607,5.0,1.0,user_0001,V100,4.052058973073592,0.0,completed,flash_crowd
flash_crowd_00000039,303.9500980626122,283.03891568349337,3.0,4.0,user_0198,V100,20.290478279185425,0.0,completed,flash_crowd
flash_crowd_00000040,305.9566241506525,938.5765458784418,6.0,0.0,user_0021,,5.373148756357541,0.0,completed,flash_crowd
flash_crowd_00000041,312.1135804321684,431.490161141461,9.0,1.0,user_0105,T4,13.831155431301264,0.0,completed,flash_crowd
flash_crowd_00000042,312.36664138204105,7.474274696373102,4.0,1.0,user_0068,H100,7.696702386458942,0.0,completed,flash_crowd
flash_crowd_00000043,312.7707006512904,279.9828882126935,1.0,0.0,user_0127,,5.770220951411885,0.0,failed,flash_crowd
flash_crowd_00000044,316.26585276478215,201.30773569953195,4.0,0.0,user_0144,,2.4977289128447535,0.0,completed,flash_crowd
flash_crowd_00000045,325.82535813815196,327.1170120728559,3.0,1.0,user_0171,V100,6.666275404710626,0.0,completed,flash_crowd
flash_crowd_00000046,326.4596852748671,1808.0089119175893,4.0,4.0,user_0080,A100,2.8990122015604376,0.0,completed,flash_crowd
flash_crowd_00000047,326.64773773045044,10.139702106768622,6.0,0.0,user_0186,,13.20214797200164,0.0,completed,flash_crowd
flash_crowd_00000048,326.82789990814985,78.66606300892514,3.0,2.0,user_0064,A100,18.358186288505088,0.0,completed,flash_crowd
flash_crowd_00000049,331.16569262218457,420.6776657389793,8.0,1.0,user_0040,H100,4.580707244595998,0.0,completed,flash_crowd
