scenario,algorithm,mode,seed,n_submitted,n_admitted,rejection_rate,p50_wait_time,p95_wait_time,p99_wait_time,sla_violation_rate,jains_fairness_per_user_wait,avg_gpu_utilization_time_weighted,gpu_hours_wasted,gpu_hours_used,makespan_hours
baseline,random,time-driven,1,300,300,0.0,0.0,332.06185766343555,852.6661986409161,0.09666666666666666,0.11495692032505593,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,random,time-driven,2,300,300,0.0,0.0,330.26953631776223,813.6806462731979,0.09,0.11717218718502281,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,random,time-driven,3,300,300,0.0,0.0,330.26953631776223,881.5239707274615,0.09333333333333334,0.11401065816595825,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,first_fit,time-driven,1,300,300,0.0,0.0,325.4689559867381,982.4294025528823,0.09666666666666666,0.11443216984822703,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,first_fit,time-driven,2,300,300,0.0,0.0,325.4689559867381,982.4294025528823,0.09666666666666666,0.11443216984822703,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,first_fit,time-driven,3,300,300,0.0,0.0,325.4689559867381,982.4294025528823,0.09666666666666666,0.11443216984822703,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,best_fit,time-driven,1,300,300,0.0,0.0,325.4689559867381,1044.649504823861,0.09,0.1022255557095403,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,best_fit,time-driven,2,300,300,0.0,0.0,325.4689559867381,1044.649504823861,0.09,0.1022255557095403,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,best_fit,time-driven,3,300,300,0.0,0.0,325.4689559867381,1044.649504823861,0.09,0.1022255557095403,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,worst_fit,time-driven,1,300,300,0.0,0.0,303.6495725209842,836.7443201613605,0.10333333333333333,0.11448478664114696,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,worst_fit,time-driven,2,300,300,0.0,0.0,303.6495725209842,836.7443201613605,0.10333333333333333,0.11448478664114696,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,worst_fit,time-driven,3,300,300,0.0,0.0,303.6495725209842,836.7443201613605,0.10333333333333333,0.11448478664114696,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,round_robin,time-driven,1,300,300,0.0,0.0,332.06185766343555,881.5239707274615,0.09666666666666666,0.11378788141861775,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,round_robin,time-driven,2,300,300,0.0,0.0,332.06185766343555,881.5239707274615,0.09666666666666666,0.11378788141861775,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,round_robin,time-driven,3,300,300,0.0,0.0,332.06185766343555,881.5239707274615,0.09666666666666666,0.11378788141861775,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,gpu_packing,time-driven,1,300,300,0.0,0.0,325.4689559867381,1044.649504823861,0.09,0.10217015560202088,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,gpu_packing,time-driven,2,300,300,0.0,0.0,325.4689559867381,1044.649504823861,0.09,0.10217015560202088,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,gpu_packing,time-driven,3,300,300,0.0,0.0,325.4689559867381,1044.649504823861,0.09,0.10217015560202088,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,least_requested,time-driven,1,300,300,0.0,0.0,356.159506203125,1064.6433846549376,0.08333333333333333,0.08278529836200868,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,least_requested,time-driven,2,300,300,0.0,0.0,356.159506203125,1064.6433846549376,0.08333333333333333,0.08278529836200868,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,least_requested,time-driven,3,300,300,0.0,0.0,356.159506203125,1064.6433846549376,0.08333333333333333,0.08278529836200868,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,fgd,time-driven,1,300,300,0.0,0.0,373.3131623258745,850.9164099744746,0.10333333333333333,0.11738837059539477,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,fgd,time-driven,2,300,300,0.0,0.0,373.3131623258745,850.9164099744746,0.10333333333333333,0.11738837059539477,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,fgd,time-driven,3,300,300,0.0,0.0,373.3131623258745,850.9164099744746,0.10333333333333333,0.11738837059539477,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,w_fgd,time-driven,1,300,300,0.0,0.0,360.1768185484228,904.5876446156241,0.09333333333333334,0.11317772534929782,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
baseline,w_fgd,time-driven,2,300,300,0.0,0.0,360.1768185484228,904.5876446156241,0.09333333333333334,0.11317772534929782,0.17519936815431816,274.5280232683667,58.31365103303008,2.0802604643837297
