scenario,n,duration_mean,duration_median,duration_cv,duration_lognorm_sigma,duration_lognorm_scale,num_gpu_mean,num_gpu_p95,num_cpu_mean,inter_arrival_cv,skew_duration,kurtosis_duration
baseline,300,457.78884352552734,200.14855364581328,1.7543073807919431,1.4332263865245995,179.8554204357284,1.3433333333333333,4.2000000000000455,4.906666666666666,0.9501866833585157,4.464573062983731,26.64312932360542
bursty_arrivals,300,363.50125122519853,174.12030455775007,2.1222989971293678,1.3562343328273623,151.62367029688215,1.2333333333333334,4.0,5.363333333333333,1.02851285720566,8.681469554121424,102.87302341573567
checkpoint_io_burst,300,488.1099734533813,229.25986037593805,1.6382807509148605,1.195243186151466,236.06388809941905,1.3433333333333333,4.2000000000000455,4.906666666666666,0.9501866833585157,4.4721326735226885,26.744536032548293
cold_start_storm,300,14.758554808175502,10.75033722248639,0.9771875474138917,1.252785988776987,8.417196660741501,1.5,8.0,4.836666666666667,6.696355349133223,1.8401089133489756,4.3264714736256895
diurnal_pattern,300,500.0973610752192,177.56004319457585,2.0503156607650865,1.4643137104571597,178.33895456061478,1.61,8.0,4.86,0.9798646204666704,5.48056359253939,38.55117978594566
flash_crowd,300,461.2564900269404,198.03243724498037,1.7543197189185196,1.4333218922181146,179.89227229444947,1.3266666666666667,4.0,4.9,1.8195856211447718,4.392289513963746,25.792949116855652
gpu_fragmentation_sharing,300,457.78884352552734,200.14855364581328,1.7543073807919431,1.4332263865245995,179.8554204357284,0.7833333333333333,2.0,4.906666666666666,0.9501866833585161,4.464573062983731,26.64312932360542
heavy_tail_demand,300,457.78884352552734,200.14855364581328,1.7543073807919431,1.4332263865245995,179.8554204357284,1.3433333333333333,4.2000000000000455,4.906666666666666,0.9501866833585157,4.464573062983731,26.64312932360542
high_contention,300,457.78884352552734,200.14855364581328,1.7543073807919431,1.4332263865245995,179.8554204357284,1.3433333333333333,4.2000000000000455,4.906666666666666,0.9501866833585144,4.464573062983731,26.64312932360542
llm_inference_bursty,300,1.8638385849137953,1.3775200306155435,0.9680639486606334,1.1411590286831554,1.1482293389011513,0.63,1.0,5.046666666666667,1.042059092814074,2.5594914725684443,10.871228879608232
long_context_kv_pressure,300,838.7546628789532,237.64031849315757,2.1949701694882444,1.6420428458570286,234.86162498147525,1.3433333333333333,4.2000000000000455,4.906666666666666,0.9501866833585157,5.471618496744025,41.97055750188342
moe_expert_load_skew,300,457.78884352552734,200.14855364581328,1.7543073807919431,1.4332263865245995,179.8554204357284,1.3433333333333333,4.2000000000000455,4.906666666666666,0.9501866833585144,4.464573062983731,26.64312932360542
resource_starvation,300,457.78884352552734,200.14855364581328,1.7543073807919431,1.4332263865245995,179.8554204357284,2.0,8.0,6.656666666666666,0.9501866833585157,4.464573062983731,26.64312932360542
spot_preemption_churn,300,358.08335725608146,134.3386309835819,1.8747014974769014,1.5721503417629932,123.24817914920806,1.3433333333333333,4.2000000000000455,4.906666666666666,0.9501866833585161,4.329381417085797,23.73270934538627
